created_date,week,sentiment.compound,text,id
2017-04-04 21:03:51,14,0.8622,Great to talk jobs with #NABTU2017. Tremendous spirit &amp; optimism - we will deliver! https://t.co/6lRuQZZHrc,849366930133839872
2017-04-03 16:00:33,14,0.8402,"Getting ready to meet President al-Sisi of Egypt. On behalf of the United States, I look forward to a long and wonderful relationship.",848928217138384896
2017-04-07 23:22:53,14,0.7645,RT @IvankaTrump: Very proud of Arabella and Joseph for their performance in honor of President Xi Jinping and Madame Peng Liyuan's official…,850489084221018113
2017-04-06 18:30:49,14,0.7579,"It was an honor to host our American heroes from the @WWP #SoldierRideDC at the @WhiteHouse today with @FLOTUS, @VP… https://t.co/u5AI1pupVV",850053194923298816
2017-04-04 19:38:59,14,0.7506,Thank you Sean McGarvey &amp; the entire Governing Board of Presidents for honoring me w/an invite to speak. #NABTU2017… https://t.co/dJlZvlq6Tj,849345573509574665
2017-04-03 19:39:05,14,0.7351,It was an honor to welcome President Al Sisi of Egypt to the @WhiteHouse as we renew the historic partnership betwe… https://t.co/9mRaGvcPHz,848983209580822529
2017-04-03 00:58:29,14,0.7184,"Melania and I are honored to light up the @WhiteHouse this evening, for 
#WorldAutismAwarenessDay. Join us &amp; #LIUB.… https://t.co/tR3hqqyWvv",848701201315188736
2017-04-03 10:15:17,14,0.5859,"Such amazing reporting on unmasking and the crooked scheme against us by @foxandfriends. ""Spied on before nomination."" The real story.",848841326183534594
2017-04-03 17:56:55,14,0.5106,Looking forward to hosting our heroes from the Wounded Warrior Project (@WWP) Soldier Ride to the @WhiteHouse on Th… https://t.co/QLC0qFD94x,848957498040217603
2017-04-08 19:00:08,14,0.4926,The reason you don't generally hit runways is that they are easy and inexpensive to quickly fix (fill in and top)!,850785347038576640
2017-04-08 14:51:10,14,0.2382,"...goodwill and friendship was formed, but only time will tell on trade.",850722694958075905
2017-04-02 13:03:43,14,0.1779,"Talks on Repealing and Replacing ObamaCare are, and have been, going on, and will continue until such time as a deal is hopefully struck.",848521325480202240
2017-04-03 11:21:11,14,0.1759,Did Hillary Clinton ever apologize for receiving the answers to the debate? Just asking!,848857910297980928
2017-04-06 02:12:43,14,0.0,"JOBS, JOBS, JOBS!
https://t.co/XGOQPHywrt https://t.co/B5Qbn6llzE",849807049118625792
2017-04-04 18:38:13,14,0.0,".@WhiteHouse #CEOTownHall
➡️https://t.co/ADSKuUXf1b https://t.co/XHfQ6zmF2H",849330281412792320
2017-04-04 12:39:16,14,0.0,RT @DRUDGE_REPORT: RICE ORDERED SPY DOCS ON TRUMP? https://t.co/bL2nZRFxk9,849239946653290496
2017-04-03 12:51:01,14,0.0,".@FoxNews from multiple sources: ""There was electronic surveillance of Trump, and people close to Trump. This is unprecedented."" @FBI",848880519458717698
2017-04-03 11:16:52,14,0.0,Was the brother of John Podesta paid big money to get the sanctions on Russia lifted? Did Hillary know?,848856822312292354
2017-04-02 13:34:16,14,0.0,The real story turns out to be SURVEILLANCE and LEAKING! Find the leakers.,848529014667055105
2017-04-02 12:56:49,14,-0.7319,Anybody (especially  Fake News media) who thinks that Repeal &amp; Replace of ObamaCare is dead does not know the love and strength in R Party!,848519587675201538
2017-03-26 12:21:58,13,0.9392,"Democrats are smiling in D.C. that the Freedom Caucus, with the help of Club For Growth and Heritage, have saved Planned Parenthood &amp; Ocare!",845974102619906048
2017-03-30 21:17:30,13,0.9186,Great op-ed from @RepKenBuck. Looks like some in the Freedom Caucus are helping me end #Obamacare. https://t.co/Y2vTnIBTBZ,847558426557337600
2017-03-28 20:57:17,13,0.8567,It was an honor to welcome @GLFOP to the @WhiteHouse today with @VP Pence &amp; Attorney General Sessions. THANK YOU fo… https://t.co/VHzTB4c69h,846828561491202048
2017-03-31 17:28:44,13,0.8439,"Great meeting with a wonderful woman today, former Secretary of State, Condoleezza Rice! #USA🇺🇸 https://t.co/ZuriIC3YwG",847863243200753666
2017-03-31 19:37:00,13,0.802,'Trump Celebrates American Manufacturing Survey Showing Highest Level of Optimism in 20 Years' ➡️… https://t.co/cVWXOa1MjY,847895524632129536
2017-03-31 14:35:47,13,0.7351,"It was an honor to welcome the Prime Minister of Denmark, Lars Løkke Rasmussen {@larsloekke} to the @WhiteHouse yes… https://t.co/N1g0TiVnSp",847819720418111488
2017-04-01 16:50:36,13,0.7269,"Wow, @FoxNews just reporting big news. Source: ""Official behind unmasking is high up. Known Intel official is responsible. Some unmasked....",848216035153121285
2017-03-30 02:12:09,13,0.7184,"Today we honored our true American heroes on the first-ever National Vietnam War Veterans Day.
#ThankAVeteran… https://t.co/deOHapcV4J",847270189171228672
2017-03-28 02:03:17,13,0.7087,"The Democrats will make a deal with me on healthcare as soon as ObamaCare folds - not long. Do not worry, we are in very  good shape!",846543183223963649
2017-04-01 22:21:02,13,0.6597,Thank you @JCLayfield -- will get even better as my Administration continues to put #AmericaFirst🇺🇸 https://t.co/AQQzmt10x7,848299191646515202
2017-03-29 12:21:02,13,0.636,If the people of our great country could only see how viciously and inaccurately my administration is covered by certain media!,847061031293779969
2017-03-27 01:04:42,13,0.6249,General Kelly is doing a great job at the border. Numbers are way down. Many are not even trying to come in anymore.,846166053663191040
2017-03-28 01:41:15,13,0.6141,The Republican House Freedom Caucus was able to snatch defeat from the jaws of victory. After so many bad years they were ready for a win!,846537639167713281
2017-03-31 18:30:38,13,0.5411,"It is an exciting time for our country!
#WeeklyAddress #ConfirmGorsuch https://t.co/tP4bkvTOBq",847878820220858369
2017-03-28 15:26:23,13,0.4926,"The failing @NYTimes would do much better if they were honest! 
https://t.co/ATy8R3knS2",846745288735887360
